Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pcg-fast/Word32,2.5478246508587825e-9,2.5100051364491915e-9,2.6170439017856144e-9,1.6505345424172878e-10,1.0642244226637474e-10,2.394406353431119e-10
pcg-fast/Word32B,7.617835087754578e-9,7.597534923252808e-9,7.642871459971822e-9,7.15470071646561e-11,5.896455365988448e-11,8.672712169530312e-11
pcg-single/Word32,2.489457565765152e-9,2.472257927905715e-9,2.5085312572935768e-9,6.406599094283177e-11,5.6312712622471123e-11,7.456903823492487e-11
pcg-unique/Word32,2.5287319035400075e-9,2.5207778596445076e-9,2.5373593841133952e-9,2.879831400146342e-11,2.310777084750716e-11,3.6945505450526605e-11
mwc/Word64,9.031117576890663e-9,8.920935895149431e-9,9.185954452543549e-9,4.257797212927605e-10,2.762225406350874e-10,5.396230916215677e-10
mwc/Word32R,1.5986489045645512e-8,1.596649726158263e-8,1.6008696128466056e-8,7.146542494639482e-11,5.823576058193966e-11,9.116445484981961e-11
mwc/Double,8.92557813101465e-9,8.89604275108177e-9,8.956238450551614e-9,9.889988712385888e-11,8.447602633074688e-11,1.2211308127042596e-10
mersenne/Word64,5.518793701316405e-9,5.49907127489714e-9,5.538664025180719e-9,6.443484170079774e-11,5.4615951833710774e-11,7.893961294721824e-11
mersenne/Double,7.210547645393152e-9,7.18973723910596e-9,7.2352280916652536e-9,7.68988260390865e-11,6.616461428998667e-11,9.12376712577296e-11
